約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2025/4/1","2025/4/4","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,368","36,555","0","-","-","5,000(500)","円"
"2025/4/2","2025/4/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","6,529","30,632","0","-","-","20,000","円"
"2025/4/2","2025/4/8","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","11,658","25,733","0","-","-","30,000","円"
"2025/4/2","2025/4/7","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,317","15,076","0","-","-","5,000","円"
"2025/5/1","2025/5/8","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,391","35,961","0","-","-","5,000(500)","円"
"2025/5/2","2025/5/9","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","6,732","29,710","0","-","-","20,000","円"
"2025/5/2","2025/5/9","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,431","14,572","0","-","-","5,000","円"
"2025/5/7","2025/5/13","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","12,037","24,923","0","-","-","30,000","円"
"2025/6/2","2025/6/5","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,358","36,819","0","-","-","5,000(500)","円"
"2025/6/3","2025/6/6","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","6,489","30,825","0","-","-","20,000","円"
"2025/6/3","2025/6/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","11,478","26,138","0","-","-","30,000","円"
"2025/6/3","2025/6/6","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,420","14,621","0","-","-","5,000","円"
"2025/7/1","2025/7/4","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,355","36,902","0","-","-","5,000(500)","円"
"2025/7/2","2025/7/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","6,171","32,411","0","-","-","20,000","円"
"2025/7/2","2025/7/7","eMAXIS Slim 先進国リートインデックス","再投資型","NISA成長投資枠","買付","積立","3,380","14,793","0","-","-","5,000","円"
"2025/7/3","2025/7/9","eMAXIS Slim 全世界株式(オール・カントリー)","再投資型","NISAつみたて投資枠","買付","積立","10,919","27,477","0","-","-","30,000","円"
"2025/8/1","2025/8/6","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","1,311","38,141","0","-","-","5,000(500)","円"
"2025/8/4","2025/8/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,964","33,534","0","-","-","20,000","円"
"2025/8/4","2025/8/8","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","再投資型","NISAつみたて投資枠","買付","積立","10,664","28,132","0","-","-","30,000","円"
"2025/8/4","2025/8/7","eMAXIS Slim 先進国リートインデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","3,353","14,913","0","-","-","5,000","円"
"2025/9/3","2025/9/8","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,748","34,796","0","-","-","20,000","円"
"2025/9/3","2025/9/9","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","再投資型","NISAつみたて投資枠","買付","積立","10,268","29,218","0","-","-","30,000","円"
"2025/10/1","2025/10/6","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","4,190","47,742","0","-","-","20,000","円"
"2025/10/1","2025/10/7","野村Jリートファンド","再投資型","NISA成長投資枠","買付","積立","4,635","21,575","0","-","-","10,000","円"
"2025/10/2","2025/10/7","NZAM・ベータ 米国REIT","再投資型","NISA成長投資枠","買付","積立","2,252","22,202","0","-","-","5,000","円"
"2025/10/2","2025/10/7","eMAXIS Slim 先進国債券インデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","7,038","14,209","0","-","-","10,000","円"
"2025/10/2","2025/10/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,550","36,037","0","-","-","20,000(500)","円"
"2025/10/2","2025/10/7","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,550","36,037","0","-","-","20,000(500)","円"
"2025/10/2","2025/10/7","eMAXIS Slim 先進国リートインデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","3,184","15,702","0","-","-","5,000","円"
"2025/10/3","2025/10/9","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","受取型","NISAつみたて投資枠","買付","積立","9,851","30,455","0","-","-","30,000","円"
"2025/10/3","2025/10/9","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","再投資型","NISAつみたて投資枠","買付","積立","9,851","30,455","0","-","-","30,000","円"
"2025/11/4","2025/11/7","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","4,138","48,332","0","-","-","20,000","円"
"2025/11/4","2025/11/7","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","6,207","48,332","0","-","-","30,000","円"
"2025/11/4","2025/11/10","野村Jリートファンド","再投資型","NISA成長投資枠","買付","積立","4,463","22,408","0","-","-","10,000","円"
"2025/11/5","2025/11/10","NZAM・ベータ 米国REIT","再投資型","NISA成長投資枠","買付","積立","2,198","22,755","0","-","-","5,000","円"
"2025/11/5","2025/11/10","eMAXIS Slim 先進国債券インデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","6,764","14,784","0","-","-","10,000","円"
"2025/11/5","2025/11/10","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,272","37,939","0","-","-","20,000(500)","円"
"2025/11/5","2025/11/10","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,272","37,939","0","-","-","20,000","円"
"2025/11/5","2025/11/11","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","再投資型","NISAつみたて投資枠","買付","積立","9,418","31,856","0","-","-","30,000","円"
"2025/11/5","2025/11/10","eMAXIS Slim 先進国リートインデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","3,109","16,085","0","-","-","5,000","円"
"2025/12/1","2025/12/4","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","3,901","51,279","0","-","-","20,000","円"
"2025/12/1","2025/12/4","三菱UFJ 純金ファンド(ファインゴールド)","再投資型","NISA成長投資枠","買付","積立","5,851","51,279","0","-","-","30,000","円"
"2025/12/1","2025/12/5","野村Jリートファンド","再投資型","NISA成長投資枠","買付","積立","4,406","22,696","0","-","-","10,000","円"
"2025/12/2","2025/12/5","NZAM・ベータ 米国REIT","再投資型","NISA成長投資枠","買付","積立","2,139","23,379","0","-","-","5,000","円"
"2025/12/2","2025/12/5","eMAXIS Slim 先進国債券インデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","6,637","15,068","0","-","-","10,000","円"
"2025/12/2","2025/12/5","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,161","38,757","0","-","-","20,000","円"
"2025/12/2","2025/12/5","eMAXIS Slim 米国株式(S&P500)","再投資型","NISAつみたて投資枠","買付","積立","5,161","38,757","0","-","-","20,000(500)","円"
"2025/12/2","2025/12/8","eMAXIS Slim 全世界株式(オール・カントリー)(オルカン)","再投資型","NISAつみたて投資枠","買付","積立","9,228","32,512","0","-","-","30,000","円"
"2025/12/2","2025/12/5","eMAXIS Slim 先進国リートインデックス(除く日本)","再投資型","NISA成長投資枠","買付","積立","3,035","16,475","0","-","-","5,000","円"
"2025/12/8","2025/12/15","たわらノーロード インド株式Nifty50","再投資型","NISA成長投資枠","買付","積立","19,853","10,074","0","-","-","20,000","円"
"2025/12/8","2025/12/11","ニッセイSOX指数インデックスファンド(米国半導体株)＜購入・換金手数料なし＞","再投資型","NISA成長投資枠","買付","積立","3,665","27,289","0","-","-","10,000","円"
"2025/12/8","2025/12/11","iFreeNEXT FANG+インデックス","再投資型","NISAつみたて投資枠","買付","積立","2,295","87,173","0","-","-","20,000","円"
